table,field,type,nullable,key,default,extra
dados_ult30d_2derrotas,new_player1,text,YES,,,
dados_ult30d_2derrotas,new_player2,text,YES,,,
dados_ult30d_2derrotas,HC,text,YES,,,
dados_ult30d_2derrotas,lucro,double,YES,,,
dados_ult30d_2derrotas,count,bigint(20),YES,,,
dados_ult30d_2derrotas,roi,double,YES,,,
dados_ult30d_3derrotas,new_player1,text,YES,,,
dados_ult30d_3derrotas,new_player2,text,YES,,,
dados_ult30d_3derrotas,HC,text,YES,,,
dados_ult30d_3derrotas,lucro,double,YES,,,
dados_ult30d_3derrotas,count,bigint(20),YES,,,
dados_ult30d_3derrotas,roi,double,YES,,,
dados_ult30d_ht_metodo,new_player1,text,YES,,,
dados_ult30d_ht_metodo,new_player2,text,YES,,,
dados_ult30d_ht_metodo,HC,double,YES,,,
dados_ult30d_ht_metodo,lucro,text,YES,,,
dados_ult30d_ht_metodo,count,bigint(20),YES,,,
dados_ult30d_ht_metodo,roi,text,YES,,,
dados_ult30d_metodo,new_player1,text,YES,,,
dados_ult30d_metodo,new_player2,text,YES,,,
dados_ult30d_metodo,HC,text,YES,,,
dados_ult30d_metodo,lucro,double,YES,,,
dados_ult30d_metodo,count,bigint(20),YES,,,
dados_ult30d_metodo,roi,double,YES,,,
dados_ult30d_metodo3dif,new_player1,text,YES,,,
dados_ult30d_metodo3dif,new_player2,text,YES,,,
dados_ult30d_metodo3dif,HC,text,YES,,,
dados_ult30d_metodo3dif,lucro,double,YES,,,
dados_ult30d_metodo3dif,count,bigint(20),YES,,,
dados_ult30d_metodo3dif,roi,double,YES,,,
dados_ult30d_metodoantigo2d,new_player1,text,YES,,,
dados_ult30d_metodoantigo2d,new_player2,text,YES,,,
dados_ult30d_metodoantigo2d,HC,text,YES,,,
dados_ult30d_metodoantigo2d,lucro,double,YES,,,
dados_ult30d_metodoantigo2d,count,bigint(20),YES,,,
dados_ult30d_metodoantigo2d,roi,double,YES,,,
dados_ult30d_metodoantigo3d,new_player1,text,YES,,,
dados_ult30d_metodoantigo3d,new_player2,text,YES,,,
dados_ult30d_metodoantigo3d,HC,text,YES,,,
dados_ult30d_metodoantigo3d,lucro,double,YES,,,
dados_ult30d_metodoantigo3d,count,bigint(20),YES,,,
dados_ult30d_metodoantigo3d,roi,double,YES,,,
dados_ult30d_primeirojogo,player1,text,YES,,,
dados_ult30d_primeirojogo,player2,text,YES,,,
dados_ult30d_primeirojogo,total,bigint(20),YES,,,
dados_ult30d_primeirojogo,percent_jog1,double,YES,,,
dados_ult30d_primeirojogo,percent_jog2,double,YES,,,
dados_ult30d_primeirojogo,dif,double,YES,,,
dados_ult30d_primeirojogo,favorito,text,YES,,,
dados_ult30d_primeirojogo,total_primeiroJogo,bigint(20),YES,,,
dados_ult30d_primeirojogo,percent_jog1_primeiroJogo,double,YES,,,
dados_ult30d_primeirojogo,percent_jog2_primeiroJogo,double,YES,,,
dados_ult30d_primeirojogo,dif_primeiroJogo,double,YES,,,
dados_ult30d_primeirojogo,favorito_primeiroJogo,text,YES,,,
dados_ult30d_primeirojogo,HC,text,YES,,,
dados_ult30d_troca,player1,text,YES,,,
dados_ult30d_troca,player2,text,YES,,,
dados_ult30d_troca,new_HC,text,YES,,,
dados_ult30d_troca,lucro,double,YES,,,
dados_ult30d_troca,count,bigint(20),YES,,,
dados_ult30d_troca,roi,double,YES,,,
ebattle_ebattleapi_fixtures,id,int(11),NO,PRI,,auto_increment
ebattle_ebattleapi_fixtures,id_fixture,int(11),NO,UNI,,
ebattle_ebattleapi_fixtures,id_season,int(11),NO,,,
ebattle_ebattleapi_fixtures,season_name,varchar(150),NO,,,
ebattle_ebattleapi_fixtures,match_kickoff,datetime,NO,,,
ebattle_ebattleapi_fixtures,match_status,int(11),NO,,,
